source,description,location,full_address,address_id
,,720 Station Ave,"720 Station Ave, Langford, BC V9B 2S1",
,,Beacon Park Sidney,"9801 Seaport Pl, Sidney, BC V8L 4X3",
,,Beckwith Park,"857 Beckwith Ave, Victoria, BC V8X 3S3",
,,Brydon Park,"Viewmont Avenue or Vanguard Place, Royal Oak, BC",
,,"Brydon Park, End of Viewmont Ave","Viewmont Avenue or Vanguard Place, Royal Oak, BC",
,,Bullen Park,"527 Fraser St, Victoria, BC V9A 6H7",
,,Cameron Bandshell,"250 Bridge Way, Victoria, BC V8V 2P2",
,,Centennial Square,"1 Centennial Square, Victoria, BC V8W 1P5",
,,Colwood City Hall,"3300 Wishart Rd, Victoria, BC V9C 1R1",
,,Colwood Corners,"1905 Sooke Rd, Victoria, BC V9B 1V9",
,,Colwood Creek Park,"Brittany Dr, Colwood, BC V9B 5P8",
,,Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4",
,,Goward House,"2495 Arbutus Rd, Victoria, BC V8N 1V9",
,,"Goward House, 2495 Arbutus Rd","2495 Arbutus Rd, Victoria, BC V8N 1V9",
,,Herm Williams Park,"646 Kelly Rd, Victoria, BC V9B 2A5",
,,Hermann's Jazz Club,"753 View Street,  Victoria, BC V8W 1J9",
,,Hyacinth Park,"800 Marigold Rd, Victoria, BC V8Z 4R9",
,,"Hyacinth Park, 700 Marigold","800 Marigold Rd, Victoria, BC V8Z 4R9",
,,"Inner Harbour, Victoria, BC","812 Wharf Street, Victoria, BC, V8W 1T3",
,,James Bay United Church,"511 Michigan St, Victoria, BC V8V 1S1",
,,Lagoon Beach,"170 Goldfinch Road, Colwood, BC",
,,Lagoon West Park,"170 Goldfinch Road, Colwood, BC",
,,Langford Station,"720 Station Ave, Langford, BC V9B 2S1",
,,Legislature Lawn,"501 Belleville Street, Victoria, BC",
,,Majestic Park,"4380 Majestic Dr, Victoria, BC V8N 2M2",
,,"Majestic Park, 4380 Majestic Dr.","4380 Majestic Dr, Victoria, BC V8N 2M2",
,,"Mcpherson Playhouse, Victoria, British Columbia","3 Centennial Square, Victoria, BC V8W 1P5",
,,Meadow Park,"Latoria Boulevard at Dunlin Street, Colwood, BC",
,,Memorial Park,"Shelbourne Street or Church Avenue, Victoria, BC",
,,"Paradise Within Farm, 255 musgrave rd saltspring island, BC V8K","Salt Spring Island, 255 Musgrave Rd, Salt Spring Island, BC V8K 1V3",
,,Prospect Lake,"331 Prospect Lake Road, Victoria, BC",
,,"Prospect Lake, 331 Prospect Lake Road","331 Prospect Lake Road, Victoria, BC",
,,Royal Bay Commons,"345 Latoria Blvd, Victoria, BC V9C 0M9",
,,Rudd Park,"3366 Whittier Ave, Victoria, BC V8Z 3P9",
,,"Rudd Park, 3259 Irma","3249 Irma St, Saanich, BC V8Z, CA",
,,Rutledge Park,"913 Inverness Rd, Victoria, BC V8X 2T4",
,,"Rutledge Park, Inverness & Cloverdale","913 Inverness Rd, Victoria, BC V8X 2T4",
,,Ship Point,"Victoria, BC V8W 1T3",
,,Ship Point (Inner Harbour),"Wharf and Broughton, Victoria, BC",
,,Strange Fellows Brewing,"1345 Clark Dr, Vancouver, BC V5L 3K9",
,,The Coda,"751 View St, Victoria, BC V8W 1J9",
,,The Loft Pub Victoria,"229 Gorge Rd E, Victoria, BC V9A 1L1",
,,The Wicket Hall,"919 Douglas St, Victoria, BC V8W 2C2",
,,The Wicket Hall (Strathcona Hotel),"919 Douglas St, Victoria, BC V8W 2C2",
,,View Street Social,"753 View St, Victoria, BC V8W 2H6",
,,Wheelies Motorcyles,"2620 Rock Bay Ave, Victoria, BC V8T 4R9",
,,Willows Beach Park," 2740 Dalhousie St., Victoria, BC",
,Baza Dance Studios,,"1304 Seymour St, Vancouver, BC V6B 3P3",
Salsa Caliente ,,,,65
,Puerto Vallarata Amigos,,"Fishermans Wharf, 1 Dallas Rd, Victoria, BC",
,Latin Dance Canada,,,4317
,AfriCa Fest Victoria,,"1 Centennial Square, Victoria, BC V8W 1P5",
Space Toast,,,"Hotel At The Waldorf, 1489 East Hastings Street, Vancouver, BC V5L 5B6",
