org_names,keywords,links
Victoria International KizombaFestival,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.instagram.com/vic_international_kizomba_fest/
Kizomba Victoria,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.facebook.com/groups/265269613666246/
Paso Doble Dance Studios,"salsa, bachata, kizomba, merengue, cha cha cha",https://thedancestudiofinder.com/dance-studios/categories/paso-doble/
Latin Dance Canada,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecanada.com/our-family/
Salsa Moderna,"salsa, bachata, kizomba, merengue, cha cha cha",https://latinvictoria.ca/
Bachata Sensual Workshop,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.eventbrite.ca/e/bachata-sensual-workshop-2025-tickets-1136959238689
Latin Dance Canada,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecanada.com/
Salsa Dancing Nanaimo,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.facebook.com/groups/salsadancingnanaimo/
Latin Dancing Festivals in Canada,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecalendar.com/festivals/location/canada/
None,"salsa, bachata, kizomba, merengue, cha cha cha",https://wherecanwedance.com/event_types/social
Latin Dancing Festivals Worldwide,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecalendar.com/festivals/
Salsa Dancing Nanaimo,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.facebook.com/groups/salsadancingnanaimo/posts/1107350607491341/
"Strictly Lindy Hop Swing Vancouver, BC","swing, balboa, lindy hop, east coast swing",https://www.facebook.com/groups/strictlylindy/posts/1234576006605637/
Red Hot Swing,"swing, balboa, lindy hop, east coast swing",https://www.redhotswing.com/
"Strictly Lindy Hop Swing Vancouver, BC","swing, balboa, lindy hop, east coast swing",https://www.facebook.com/groups/strictlylindy/
East Coast Swing Dance Studios,"swing, balboa, lindy hop, east coast swing",https://thedancestudiofinder.com/dance-studios/categories/east-coast-swing/
Lindy Cruise,"swing, balboa, lindy hop, east coast swing",https://lindycruise.com/schedule/
Swing Social Shag and Balboa Shake Out,"swing, balboa, lindy hop, east coast swing",https://www.swingvictoria.net/events/past-events/swing-social-shag-and-balboa-shake-out-july-16-2022
Arthur Murray Victoria,"swing, balboa, lindy hop, east coast swing",https://victoriaarthurmurray.com/dances-we-teach
None,"swing, balboa, lindy hop, east coast swing",https://www.swingvictoria.net/faq/where-to-swing-dance-in-victoria
Dance Lesson / Instruction,"swing, balboa, lindy hop, east coast swing",http://www.danceweb.co.uk/dance-class-dance-lesson---instruction/12729.aspx
Swing scene still thriving in Victoria,"swing, balboa, lindy hop, east coast swing",https://www.vicnews.com/entertainment/swing-scene-still-thriving-in-victoria-34869
Victoria West Coast Swing Collective,"west coast swing, wcs",https://www.facebook.com/groups/victoriawestcoastswingcollective/
Victoria West Coast Swing Collective Society,"west coast swing, wcs",https://www.victoriawestcoastswing.com/
None,"west coast swing, wcs",https://www.instagram.com/ewienzveg/?hl=en
Victoria West Coast Swing Collective Society,"west coast swing, wcs",https://www.victoriawestcoastswing.com/jay-holman
Improv West Coast Swing,"west coast swing, wcs",https://www.instagram.com/coachgabrielshaw/p/CRU6v-hJMuY/?next=%2Fnowweknownews%2Ffeed%2F&locale=zh-hans&hl=ar
BC Swing Dance,"west coast swing, wcs",https://bcswingdance.ca/index.php/learn-to-dance/
OH MY DANCE PRODUCTIONS,"west coast swing, wcs",https://www.nanaimodancefusion.ca/
BC Swing Dance Club,"west coast swing, wcs",https://bcswingdance.ca/
Victoria Falls Gorge Swing,"west coast swing, wcs",https://www.tiktok.com/discover/victoria-falls-gorge-swing?lang=en
"DFD, Langley","west coast swing, wcs",https://m.facebook.com/events/2638928582968589/
